kappa      lambda      nu      beta      model
0.01      2.0      1.0      0.75      MS_MViT_pt5-1_SOLI
0.05      2.0      1.0      0.75      MS_MViT_pt5-1_SOLI
0.1      2.0      1.0      0.75      MS_MViT_pt5-1_SOLI
0.25      2.0      1.0      0.75      MS_MViT_pt5-1_SOLI
0.5      2.0      1.0      0.75      MS_MViT_pt5-1_SOLI
0.75      2.0      1.0      0.75      MS_MViT_pt5-1_SOLI
1.0      2.0      1.0      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.5      2.0      1.0      0.75      DGBQA_CGID_Res3D-ViViT_1-1pt5_SOLI
2.0      2.0      1.0      0.75      DGBQA_CGID_Res3D-ViViT_1-1pt5_SOLI
3.0      2.0      1.0      0.75      DGBQA_CGID_Res3D-ViViT_1-1pt5_SOLI
4.0      2.0      1.0      0.75      DGBQA_CGID_Res3D-ViViT_1-1pt5_SOLI
1.0      0.01      1.0      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      0.05      1.0      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      0.1      1.0      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      0.25      1.0      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      0.5      1.0      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      0.75      1.0      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      1.0      1.0      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      1.5      1.0      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      2.0      1.0      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      3.0      1.0      0.75      MS_MViT_pt5-1_SOLI
1.0      4.0      1.0      0.75      MS_MViT_pt5-1_SOLI
1.0      2.0      0.01      0.75      MS_MViT_pt5-1_SOLI
1.0      2.0      0.05      0.75      MS_MViT_pt5-1_SOLI
1.0      2.0      0.1      0.75      MS_MViT_pt5-1_SOLI
1.0      2.0      0.25      0.75      DGBQA_CGID_Res3D-ViViT_1-1pt5_SOLI
1.0      2.0      0.5      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      2.0      0.75      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      2.0      1.0      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      2.0      1.5      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      2.0      2.0      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      2.0      3.0      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      2.0      4.0      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      2.0      1.0      0.01      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      2.0      1.0      0.05      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      2.0      1.0      0.1      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      2.0      1.0      0.25      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      2.0      1.0      0.5      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      2.0      1.0      0.75      DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI
1.0      2.0      1.0      1.0      MS_MViT_pt5-1_SOLI
1.0      2.0      1.0      1.5      MS_MViT_pt5-1_SOLI
1.0      2.0      1.0      2.0      MS_MViT_pt5-1_SOLI
1.0      2.0      1.0      3.0      MS_MViT_pt5-1_SOLI
1.0      2.0      1.0      4.0      MS_MViT_pt5-1_SOLI
